phi_0_init,gamma_init,lambda_init,phi_0_hat,gamma_hat,lambda_hat,phi_0_SE,gamma_SE,lambda_SE,phi_0_gamma_cor,phi_0_lambda_cor,gamma_lambda_cor,log_LR_estimates,phi_0_SE_sign,lambda_SE_sign
0.1,0.01,0.01,0.3326229648025337,0.08414294740978193,0.013161560243446708,0.026643859300385115,0.003325525215256643,0.000547140163374596,0.8343838785427361,-2.8550733094552054e-9,1.1320446924019106e-9,-577.7173461133898,1.0,1.0
0.1,0.01,0.01,0.3368262423096933,0.08503108530964924,0.011776754999940015,0.02770246679245354,0.003422002783844745,0.0004899787524383706,0.8436964402059585,-2.064255559143516e-6,-1.6578554374194012e-6,-633.9651302897537,1.0,1.0
0.1,0.01,0.1,0.3339700605278972,0.058516889943759476,0.07823236312012487,0.02909899694292096,0.0035128786431976654,0.0031343108018960036,0.8620841956838422,-0.001352994149283963,-0.002181829920938473,96.2598439294343,1.0,1.0
0.1,0.01,0.1,0.34340907985905,0.059490630306076236,0.07710548551554076,0.029293869277266543,0.003500030746768494,0.003091851341041186,0.8556314530832418,-6.336212787034331e-5,-0.00013604714925400058,94.79744801316427,1.0,1.0
0.1,0.01,0.2,0.12871613905952914,1.9989999999999183e-5,0.18375463351246074,0.009603872367026343,0.002750551218288253,0.0068655564524033146,0.8061318665824351,1.1184681298725657e-9,1.023897442463098e-9,-210.57274793242962,1.0,1.0
0.1,0.01,0.2,0.13096338992013645,1.9989999999999183e-5,0.1845022390281476,0.009566432700582805,0.0010176388917866052,0.0016134569878824838,1.4167275037695704,1.7759430639310445,11.175066692547553,-215.77292104872282,1.0,-1.0
0.1,0.1,0.01,0.32784887440992316,0.08624341734452307,0.009023239174837962,0.02571671734341549,0.0032953133154185778,0.00038416754191270377,0.8264965541486768,0.004347879469654292,0.0028308297716707806,-779.0105073463333,1.0,1.0
0.1,0.1,0.01,0.3419133137487972,0.08459519841892676,0.01290710542236534,0.02781327531218065,0.0033425211018628625,0.0005366709920793495,0.8398899704601172,-1.513409049076825e-12,2.2387480845888728e-12,-584.3540375779562,1.0,1.0
0.1,0.1,0.1,0.31672686579208925,0.06183907406249201,0.06352482685752146,0.029283490322404557,0.003523313443162875,0.0032588457154524597,0.8546553087593075,0.28034931151161574,0.18803171116984552,58.9948093607761,1.0,1.0
0.1,0.1,0.1,0.33545883624893413,0.0624669613905615,0.065176474865565,0.02606974914034379,0.003277151197456411,0.002633761393675919,0.8229424525537891,8.939923115360172e-10,7.221926292145053e-10,66.58931938232712,1.0,1.0
0.1,0.1,0.2,0.3172034794219562,0.043646519516084885,0.12251342657215221,0.028913861800204714,0.0037295459457726086,0.004786936038693018,0.8748657661281919,-4.47666927504055e-11,-4.061304012712012e-11,74.05939911633325,1.0,1.0
0.1,0.1,0.2,0.334502864775505,0.04356135095169427,0.13003779087263576,0.030743694426652157,0.0037423386077155346,0.0050499642783589085,0.8770603500390745,0.0,0.0,57.34820350960144,1.0,1.0
0.1,0.5,0.01,0.3313436099920047,0.08598267977548175,0.009052914851043604,0.026327525748501418,0.0033016919937776715,0.0003795851833840798,0.8309043282593592,-0.0013074968704570595,0.002245424058543952,-773.8702388231959,1.0,1.0
0.1,0.5,0.01,0.3387581238815345,0.08671381640048645,0.009121513145546172,0.02764178949314074,0.0033520979947673697,0.00037991762432361577,0.8409683999989265,0.0,0.0,-769.4913886232857,1.0,1.0
0.1,0.5,0.1,0.34722079905065745,0.05684146922619489,0.08491920793271496,0.030652119556726424,0.003633793948194555,0.0033938112428438323,0.8659387201812884,0.00012735567065546598,7.269535563173848e-5,103.09133896103823,1.0,1.0
0.1,0.5,0.1,0.33764533660624263,0.05853465183068816,0.07714109124397914,0.027936500781137037,0.0035101003571826345,0.0031060143293897423,0.8457259370769576,-2.8813437971145077e-9,-3.818186319755254e-9,95.2293708122679,1.0,1.0
0.1,0.5,0.2,0.10070244353156453,9.995000000001327e-7,0.20025231389063822,0.00586543049375194,0.0027390307924979374,0.0074882756211501564,0.6522296695990273,-1.8556399788750563e-7,-7.216161419220426e-7,-235.2998731349674,1.0,1.0
0.1,0.5,0.2,0.3472312079204022,0.052773337124528516,0.10076845295623978,0.026878960133368632,0.003412100037498392,0.004015687573737077,0.8213961092291685,3.7146043965778196e-8,-2.489953858389658e-7,99.85185751767627,1.0,1.0
1.0,0.01,0.01,0.33305998586578905,0.08382960969970475,0.013289930120552525,0.025990531812653418,0.0032938736064297394,0.0005715801688845617,0.8229405603513362,0.014140220976661103,0.0011786056887686878,-571.2591840798536,1.0,1.0
1.0,0.01,0.01,0.3339668126560643,0.08349297315308359,0.013709825637081332,0.026121543765044893,0.0032798106061407194,0.0005698690673892395,0.8254492073557449,-2.8042724789976067e-12,-5.719441740134481e-12,-554.1928708626315,1.0,1.0
1.0,0.01,0.1,0.3231471760217444,0.056855036798946705,0.07885899080569489,0.025615488031579033,0.00331601920558018,0.0031660370404912597,0.8305263808939872,4.325891065040515e-10,3.147992008311856e-10,97.38220533735925,1.0,1.0
1.0,0.01,0.1,0.3187800513442241,0.04602967009388392,0.11580382768380951,0.024930784102802788,0.00321496264560278,0.004545755906556512,0.823543404948436,0.0029013920456554725,0.001152456395534721,86.29170227678058,1.0,1.0
1.0,0.01,0.2,0.3191826650322013,0.05303378377614353,0.09137302242112953,0.0275110850376891,0.003580606833539545,0.0036424840203723094,0.8588250498827029,1.2732799939185677e-5,-4.4784019472985904e-5,104.99899097061729,1.0,1.0
1.0,0.01,0.2,0.3082801861185176,0.038160685654200374,0.1399088689423755,0.02617906376168659,0.003428110288231344,0.005402313804966367,0.8542176570407526,1.103556944375015e-15,1.088374751435836e-15,30.272263611257287,1.0,1.0
1.0,0.1,0.01,0.3342467633934398,0.08558638733266072,0.010660787347059901,0.026228647393486144,0.0033173765151719796,0.0005096199779890918,0.8232198809053884,-0.05644398520416942,-0.023386504410372443,-687.5676677359156,1.0,1.0
1.0,0.1,0.01,0.3248876123057151,0.08461281287976209,0.010527948452166147,0.0251144414400866,0.003255521551427274,0.00043865857523022844,0.8207222760012656,0.0005688195162494025,0.000159480764530427,-694.3624413417697,1.0,1.0
1.0,0.1,0.1,0.334962332729764,0.05430170384757065,0.09242901100536693,0.026660566908852903,0.0034558839121755706,0.0036960997745637894,0.8320421279862388,5.145238868075294e-13,4.162089693192195e-13,104.85105084069838,1.0,1.0
1.0,0.1,0.1,0.3241853532173028,0.05201645046550666,0.09545500145961175,0.02633415904388211,0.0034833485541686175,0.0038090082061076097,0.8393935932201628,-0.0003037018243597738,-0.0004265496879556264,103.86375141441009,1.0,1.0
1.0,0.1,0.2,0.3168691338426619,0.0363273033913542,0.15323600334738696,0.029079614817435148,0.003732882045331414,0.005860317123033188,0.8766673963129127,-4.052213644675054e-12,-5.900483949614863e-12,-12.792787696053832,1.0,1.0
1.0,0.1,0.2,0.32209891012399955,0.04836002928265345,0.10880302305510084,0.02610789299548479,0.00343592448823368,0.00430513862544401,0.8381497564493835,0.001263816865591686,-0.000667586865438889,94.54571728175426,1.0,1.0
1.0,0.5,0.01,0.3336046833498014,0.08621071482015673,0.008812663129925498,0.026964150203831878,0.0033445917901143334,0.0003807905091355154,0.8368210207809949,-0.00989449650908424,-0.00015283817745469967,-787.4702471261348,1.0,1.0
1.0,0.5,0.01,0.31771291808894087,0.08636405483971459,0.007722700799973831,0.024650144735018045,0.0032554492867013507,0.0003241592011783654,0.8222791562047668,-0.0014291919545146555,-0.0009843509116743848,-866.2921761441589,1.0,1.0
1.0,0.5,0.1,0.30736332835501323,0.05287441770902504,0.08740835513125446,0.02791925531868,0.0035213036660307353,0.004435221182976022,0.7359751531000623,0.24680241509041642,-0.05744424173742024,104.1117388839759,1.0,1.0
1.0,0.5,0.1,0.3269150591113774,0.05449337671332084,0.0882689449483907,0.02653452196702985,0.0033233639707823544,0.0035217357832700662,0.8390732748960502,-9.96589765670686e-5,-0.00045301821502582003,104.67268701702329,1.0,1.0
1.0,0.5,0.2,0.32548689495538957,0.04161336541349845,0.13443616469634426,0.03198503634176547,0.003991418177682858,0.005198272010764604,0.8931459742226873,0.0008606393047887104,0.0006077145446433643,46.7164290481105,1.0,1.0
1.0,0.5,0.2,0.33120422928857324,0.04904751542885735,0.10748720867960339,0.027070138701840062,0.0036029323444246256,0.004271680690730598,0.8415429492549616,0.0,0.0,94.80152032950866,1.0,1.0
3.0,0.01,0.01,0.3307972595937214,0.07805510256782576,0.02403237735769338,0.0283510501921084,0.0034475820537491395,0.001575336887927278,0.6368188444457705,0.2877424100686997,-0.21866879691738486,-280.70800051260403,1.0,1.0
3.0,0.01,0.01,0.3257955857872601,0.07967044974341783,0.020585017359508226,0.02605656619056664,0.0033252435096557268,0.0008525556663074836,0.8338186528063731,-5.5075778742321515e-18,-4.297664475954082e-18,-355.08300706798127,1.0,1.0
3.0,0.01,0.1,0.32027577015993597,0.051229920567830156,0.09668974237754561,0.025606907167308273,0.0034587588150673354,0.0038563340602053874,0.8337016780804766,-1.7472575874701084e-11,-2.0728664017124992e-10,103.20901826167194,1.0,1.0
3.0,0.01,0.1,0.3355686709743057,0.0554860623507755,0.08941165429662713,0.02980554402434813,0.0036928575051462984,0.0035620925862510553,0.8677051205677354,7.908538084353672e-11,9.38173787746718e-11,104.84673172088908,1.0,1.0
3.0,0.01,0.2,0.31697664893863775,0.04571558745687566,0.11418884085886204,0.027567603173880205,0.0035800846378853594,0.005200943482171314,0.8532746972537691,-0.043175706796359736,-0.11976104951086732,87.55643187624521,1.0,1.0
3.0,0.01,0.2,0.32441469623343616,0.03930247147075512,0.14287217171410907,0.021075535080278398,0.0007000062034020552,0.0022033892614244624,1.5161048397047414,2.1633729422306978,13.332178099034566,21.43551768204634,1.0,-1.0
3.0,0.1,0.01,0.33179007806375244,0.08390285095403882,0.013007553879287155,0.026360385077043795,0.0033288783197908682,0.0005477650104786711,0.8308785093065958,-0.003719003674683052,0.0009386441692014212,-582.6855735002468,1.0,1.0
3.0,0.1,0.01,0.3398624688612223,0.08011249671802928,0.020059178255372265,0.020770472592281982,0.0033270428095873335,0.0005101076220882864,1.050859949442784,-1.6370766692494938,-0.10598935946052,-361.4159651772743,1.0,-1.0
3.0,0.1,0.1,0.3145987854551537,0.056195193993791644,0.08076933507964518,0.024552241714246963,0.003290103757351416,0.003236974393856775,0.8245915450234199,1.8287890553896914e-6,4.6886262114650193e-7,98.93379517160274,1.0,1.0
3.0,0.1,0.1,0.3353496613118141,0.055641535961940145,0.08877270321109926,0.029982949490727728,0.003737424158482628,0.0035412601599795254,0.8695666268531925,-1.0972635335240357e-9,-1.1653821414752237e-9,104.72001577384982,1.0,1.0
3.0,0.1,0.2,0.3121105769081997,0.03883958645267285,0.13872375651753127,0.02450608258470446,0.0034043754771425415,0.005410739150307537,0.8269264249177035,0.0,0.0,33.683959462139974,1.0,1.0
3.0,0.1,0.2,0.33247529897715006,0.04963105394553028,0.10924763159778848,0.016350709204263816,0.0031816779066875457,0.0017669334923053647,0.6172051218933292,-5.393842735241172,-1.4929613874241814,94.30183306422643,-1.0,-1.0
3.0,0.5,0.01,0.3308099809524215,0.08539732904304966,0.010236178723583613,0.02638445838212224,0.0033447214529263155,0.0004263599617291941,0.8328033323228701,-1.959437986581159e-8,-6.620577363333134e-9,-708.9541199597638,1.0,1.0
3.0,0.5,0.01,0.3244502965569657,0.08294950027496069,0.014089767310560405,0.025406049572192804,0.0032703804277883857,0.0005853451668799965,0.8258871735401272,3.37156806267936e-13,1.0718580706075501e-12,-543.8024326461245,1.0,1.0
3.0,0.5,0.1,0.34792540631688385,0.05524773271991409,0.09654393215774396,0.030168211571771138,0.003597276815940964,0.0038270345823820775,0.8596844398699741,0.002069012838641362,0.0010881245040851683,103.56453592787737,1.0,1.0
3.0,0.5,0.1,0.3237757035510457,0.053536849802871704,0.08947936508036826,0.027068227174197677,0.0035279631601568794,0.0035747276961682803,0.8491544003100858,-0.00012230391458512222,-0.00040423951297616375,104.87585275534369,1.0,1.0
3.0,0.5,0.2,0.33690873177943886,0.048505525421311944,0.1128778683005604,0.02701757503381116,0.0036802987072426163,0.0047924930630852255,0.8313410851425889,-0.04430284731597683,-0.08482477546105509,89.4537979004726,1.0,1.0
3.0,0.5,0.2,0.32874351652431905,0.051031026093072786,0.09980490347481429,0.025983031104252596,0.00350024241918885,0.003979226854323635,0.8294304507913204,-3.2297825380641886e-8,-5.8994311205355484e-8,100.87494163571805,1.0,1.0
